Population,a0,a1,b0,b1,c0,c1,d0,d1,e0,e1,f0,f1,g0,g1,h0,h1,i0,i1,j0,j1,k0,k1,l0,l1
DU01,72,72,81,81,100,100,112,114,0,0,120,120,122,122,141,141,187,187,180,180,232,232,256,256
DU02,72,72,81,91,100,100,118,118,0,0,120,120,122,122,141,141,187,187,180,180,232,232,259,259
DU03,72,72,91,91,100,100,112,114,117,117,120,120,120,122,141,141,158,187,180,180,232,232,256,259
DU04,72,72,81,81,100,100,112,114,0,0,120,120,122,122,141,141,187,187,177,180,235,235,256,256
DU05,72,72,81,85,100,100,112,114,0,0,120,120,122,122,141,141,187,187,180,180,232,232,256,256
DU06,72,72,81,91,100,100,110,110,0,0,120,120,122,122,141,141,187,187,180,180,235,235,259,259
DU07,72,72,81,81,100,100,112,114,0,0,120,120,122,122,141,141,158,187,180,180,232,232,250,250
DU08,72,72,81,91,100,100,114,114,0,0,120,120,122,122,141,141,158,187,180,180,232,232,256,259
DU09,72,72,81,81,100,100,112,114,0,0,120,120,122,122,141,141,187,187,180,180,232,232,256,259
DU10,72,72,81,91,100,100,112,114,0,0,120,120,122,122,141,141,158,187,180,180,232,232,250,259
DU11,72,72,81,81,100,101,112,114,0,0,120,120,122,122,141,141,158,187,180,180,232,232,256,256
DU12,72,72,81,81,100,101,112,114,0,0,120,120,122,122,141,141,187,187,180,180,235,235,250,256
DU13,72,72,81,81,100,100,110,114,0,0,120,120,122,122,141,141,158,187,180,180,232,232,256,259
DU14,72,72,81,91,100,100,112,114,0,0,120,120,122,122,141,141,158,187,180,180,232,232,250,256
DU15,72,72,81,91,100,100,114,114,0,0,120,120,122,122,141,141,187,187,180,180,232,232,250,256
DU16,72,72,81,91,100,100,114,114,0,0,120,120,122,122,141,141,187,187,177,180,232,232,256,259
DU17,72,72,81,81,100,100,112,114,117,117,120,120,122,122,141,141,158,187,180,180,232,235,256,259
DU18,72,72,81,81,100,100,112,114,0,0,120,120,122,122,141,141,158,158,180,180,232,232,259,259
DU19,72,72,81,91,100,101,110,112,0,0,120,120,122,122,141,141,187,187,180,180,232,235,250,256
DU20,72,72,81,81,100,100,112,114,0,0,120,120,120,120,141,141,158,187,180,180,232,232,250,259
DU21,72,72,81,91,100,100,112,114,0,0,120,120,122,122,141,141,187,187,180,180,232,232,256,259
DU22,72,72,81,91,100,100,118,118,0,0,120,120,122,122,141,141,187,187,180,180,232,232,256,259
DU23,72,72,81,91,100,100,112,114,0,0,120,120,122,122,141,141,187,187,180,180,232,232,250,256
DU24,72,72,81,91,100,100,114,114,0,0,120,120,122,122,141,141,187,187,180,180,232,232,256,259
DU25,72,72,81,91,100,100,112,114,0,0,120,120,120,122,141,141,158,187,180,180,232,232,256,256
DU26,72,72,81,91,100,100,112,114,0,0,120,120,122,122,141,141,187,187,180,180,232,232,250,256
DU27,72,72,81,91,100,100,110,112,0,0,120,120,122,122,141,141,158,187,180,180,232,232,259,259
DU28,72,72,81,81,100,100,110,110,0,0,120,120,122,122,141,141,187,187,180,180,232,235,256,259
DU29,72,72,81,81,100,100,114,114,0,0,120,120,122,122,141,141,158,187,180,180,232,232,250,259
DU30,72,72,81,81,100,100,112,114,0,0,120,120,122,122,141,141,187,187,180,180,232,232,250,250
DU32,72,72,81,91,100,100,110,114,0,0,120,120,122,122,141,141,158,187,180,180,232,235,256,259
DU33,72,72,81,81,100,100,110,112,0,0,120,120,120,122,141,141,187,187,180,180,232,232,259,259
DU34,72,72,81,81,100,100,112,112,0,0,120,120,122,122,141,141,187,187,180,180,232,232,256,256
DU35,72,72,81,81,100,101,112,114,0,0,120,120,120,122,141,141,187,187,180,180,232,232,256,259
DU36,72,72,85,91,100,100,114,114,0,0,120,120,122,122,141,141,187,187,180,180,232,232,250,259
DU37,72,72,81,91,100,100,112,114,0,0,120,120,122,122,141,141,187,187,180,180,232,232,250,259
